reg,growth,veh,period,factor
Dublin,low,lv,1330,1.0089
Mid-East,low,lv,1330,1.0109
Midland,low,lv,1330,1.0088
Border,low,lv,1330,1.0082
Mid-West,low,lv,1330,1.0066
West,low,lv,1330,1.0048
South-East,low,lv,1330,1.0076
South-West,low,lv,1330,1.007
Dublin,low,hv,1330,1.0221
Mid-East,low,hv,1330,1.0221
Midland,low,hv,1330,1.0221
Border,low,hv,1330,1.0221
Mid-West,low,hv,1330,1.0221
West,low,hv,1330,1.0221
South-East,low,hv,1330,1.0221
South-West,low,hv,1330,1.0221
Dublin,low,lv,3050,1.0004
Mid-East,low,lv,3050,1.0018
Midland,low,lv,3050,0.9997
Border,low,lv,3050,0.9998
Mid-West,low,lv,3050,0.9962
West,low,lv,3050,0.9967
South-East,low,lv,3050,0.9996
South-West,low,lv,3050,0.9983
Dublin,low,hv,3050,1.0135
Mid-East,low,hv,3050,1.0135
Midland,low,hv,3050,1.0135
Border,low,hv,3050,1.0135
Mid-West,low,hv,3050,1.0135
West,low,hv,3050,1.0135
South-East,low,hv,3050,1.0135
South-West,low,hv,3050,1.0135
Dublin,cen,lv,1330,1.0134
Mid-East,cen,lv,1330,1.014
Midland,cen,lv,1330,1.012
Border,cen,lv,1330,1.0114
Mid-West,cen,lv,1330,1.0099
West,cen,lv,1330,1.0082
South-East,cen,lv,1330,1.0106
South-West,cen,lv,1330,1.0102
Dublin,cen,hv,1330,1.0237
Mid-East,cen,hv,1330,1.0237
Midland,cen,hv,1330,1.0237
Border,cen,hv,1330,1.0237
Mid-West,cen,hv,1330,1.0237
West,cen,hv,1330,1.0237
South-East,cen,hv,1330,1.0237
South-West,cen,hv,1330,1.0237
Dublin,cen,lv,3050,1.0038
Mid-East,cen,lv,3050,1.0048
Midland,cen,lv,3050,1.003
Border,cen,lv,3050,1.003
Mid-West,cen,lv,3050,1
West,cen,lv,3050,1.0007
South-East,cen,lv,3050,1.0022
South-West,cen,lv,3050,1.0012
Dublin,cen,hv,3050,1.0176
Mid-East,cen,hv,3050,1.0176
Midland,cen,hv,3050,1.0176
Border,cen,hv,3050,1.0176
Mid-West,cen,hv,3050,1.0176
West,cen,hv,3050,1.0176
South-East,cen,hv,3050,1.0176
South-West,cen,hv,3050,1.0176
Dublin,high,lv,1330,1.0149
Mid-East,high,lv,1330,1.0154
Midland,high,lv,1330,1.0131
Border,high,lv,1330,1.0124
Mid-West,high,lv,1330,1.011
West,high,lv,1330,1.0092
South-East,high,lv,1330,1.0118
South-West,high,lv,1330,1.0112
Dublin,high,hv,1330,1.0242
Mid-East,high,hv,1330,1.0242
Midland,high,hv,1330,1.0242
Border,high,hv,1330,1.0242
Mid-West,high,hv,1330,1.0242
West,high,hv,1330,1.0242
South-East,high,hv,1330,1.0242
South-West,high,hv,1330,1.0242
Dublin,high,lv,3050,1.0054
Mid-East,high,lv,3050,1.0054
Midland,high,lv,3050,1.0018
Border,high,lv,3050,1.0044
Mid-West,high,lv,3050,1.0018
West,high,lv,3050,1.0024
South-East,high,lv,3050,1.0038
South-West,high,lv,3050,1.0031
Dublin,high,hv,3050,1.0195
Mid-East,high,hv,3050,1.0195
Midland,high,hv,3050,1.0195
Border,high,hv,3050,1.0195
Mid-West,high,hv,3050,1.0195
West,high,hv,3050,1.0195
South-East,high,hv,3050,1.0195
South-West,high,hv,3050,1.0195
