year,ave_vot
2011,22.929362273635174
2012,23.84653676458058
2013,24.8003982351638
2014,25.79241416457036
2015,26.72094107449489
2016,27.68289495904662
2017,28.679479174087035
2018,29.711940411972314
2019,30.78157028367933
2020,31.458764830883307
2021,32.15085763950713
2022,32.858176507713864
2023,33.58105641055696
2024,34.31983963755645
2025,35.10919595770411
2026,35.91670744881833
2027,36.74279172337419
2028,37.58787593246149
2029,38.452397086795806
2030,39.33680221722402
2031,40.24154867280604
2032,41.16710428132035
2033,42.11394769320439
2034,43.082568496201446
2035,44.07346755930101
2036,45.08715730789118
2037,46.124161930122895
2038,47.18501765206228
2039,48.270273058701726
2040,49.3804893461829
2041,50.51624059694904
2042,51.67811412368541
2043,52.86671076740104
2044,54.08264510379295
2045,55.32654594769212
2046,56.599056490639704
2047,57.900834805332956
2048,59.23255400613076
2049,60.59490275349966
2050,61.98858550623679
2051,63.41432298005712
2052,64.8728523998165
2053,66.36492800395752
2054,67.89132134259135
2055,69.4528217360849
2056,71.05023664193064
2057,72.68439209040444
2058,74.35613309729422
2059,76.06632416834576
2060,77.81584962027387
2061,79.6056141539964
2062,81.43654329029219
2063,83.3095837825295
2064,85.22570421282951
2065,87.18589540479478
2066,89.19117099674332
2067,91.24256792322528
2068,93.34114698825684
2069,95.48799336976634
2070,97.68421721575763
2071,99.93095421754413
2072,102.22936616005347
2073,104.58064158677917
2074,106.98599635008512
2075,109.44667425322784
2076,111.96394776116672
2077,114.53911857379804
2078,117.17351829090647
2079,119.86850921469278
2080,122.62548492300789
2081,125.44587107188049
2082,128.33112610632736
2083,131.28274201702234
2084,134.30224507403574
2085,137.3911967210797
2086,140.55119424045955
2087,143.78387171610711
2088,147.09090076732022
2089,150.47399148886657
2090,153.93489327644087
2091,157.4753958355566
2092,161.09732993821524
2093,164.80256852351528
2094,168.59302759189774
2095,172.47066723696716
2096,176.4374925855957
2097,180.49555489853233
2098,184.64695267101237
2099,188.89383257286116
