param,value
mrktCostFact,1.183
pvYear,2011
discRate,0.05
appPeriod,30
cpi2011,99.4
sppf,1.3
spl,0.8
splSens,1
votBus,29.02
votComm,11.86
votOth,10.78
votGr1014,1.014
votGr1519,1.036
votGr2024,1.022
votGr30_,1.023
fatCollCost,2310500
serCollCost,331400
sliCollCost,31100
damCollCost,2500
petrolCostFact,0.63
dieselCostFact,0.7
petrolCostMrkt,149.2
dieselCostMrkt,142.9
fcPetrCarUrb,8.361
fcDiesCarUrb,6.559
fcPetrLgvUrb,13.131
fcDiesLgvUrb,9.662
fcOgvUrb,20.268
fcBusUrb,41.268
fcMcycUrb,5.71
fcPetrCarRur,6.438
fcDiesCarRur,5.251
fcPetrLgvRur,8.103
fcDiesLgvRur,6.809
fcOgvRur,14.239
fcBusRur,24.827
fcMcycRur,4.05
fcPetrCarMway,6.803
fcDiesCarMway,5.552
fcPetrLgvMway,7.737
fcDiesLgvMway,8.068
fcOgvMway,15.003
fcBusMway,21.883
fcMcycMway,4.674
vocCarPetrBusA,7.218
vocCarDiesBusA,7.218
vocCarElecBusA,1.682
vocCarPetrOthA,6.345
vocCarDiesOthA,6.345
vocCarElecOthA,1.909
vocCarPetrBusB,197.577
vocCarDiesBusB,197.577
vocCarElecBusB,197.577
vocCarPetrOthB,0
vocCarDiesOthB,0
vocCarElecOthB,0
vocLgvBusA,10.483
vocLgvOthA,11.898
vocLgvAveA,10.483
vocLgvBusB,81.002
vocLgvOthB,0
vocLgvAveB,60.253
vocOgv1BusA,11.544
vocOgv1BusB,453.584
vocOgv2BusA,22.456
vocOgv2BusB,874.315
vocPsvBusA,52.372
vocPsvBusB,1194.145
vocFuelGrPetr,1
vocFuelGrDies,1
vocNF1014A,1
vocNF1519A,0.999
vocNF2024A,0.998
vocNF2530A,0.996
vocNF31_A,1
vocNF1014B,1
vocNF1519B,1
vocNF2024B,1
vocNF2530B,1
vocNF31_B,1
carbCost11,6.17
carbCost12,6.28
carbCost13,6.31
carbCost14,6.32
carbCost15,6.58
carbCost16,6.92
carbCost1719,7.29
co2Cost,13.22
n2oCost,4598.5
noxCost,5851
vocCost,1438
pmaCost,19143
pmuCost,200239
pmsCost,48779
pmrCost,16985
fconsCarPetrUrb20,6.447
fconsCarDiesUrb20,5.435
fconsLgvDiesUrb20,6.462
fconsOgvUrb20,18.43
fconsBusUrb20,34.707
fconsCarPetrRur20,5.278
fconsCarDiesRur20,4.127
fconsLgvDiesRur20,5.197
fconsOgvRur20,14.772
fconsBusRur20,24.154
fconsCarPetrMway20,5.824
fconsCarDiesMway20,4.403
fconsLgvDiesMway20,6.642
fconsOgvMway20,19.2
fconsBusMway20,27.077
